repo_name,ref,path,symlink_target
letsignit/azure-deploy,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
Envera/azure-quickstart-templates,refs/heads/Envera,ansible-advancedlinux/InitStorage_RAID.yml,
Envera/azure-quickstart-templates,refs/heads/Envera,couchbase-ansible/InitStorage_RAID.yml,
maxalbert/ansible-miniconda-robinandeer,refs/heads/master,main.yml,
maxalbert/ansible-miniconda-robinandeer,refs/heads/master,test.yml,
maxalbert/ansible-miniconda-robinandeer,refs/heads/master,boxed.yml,
steved0x/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
steved0x/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
lizzha/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
sakaal/ansible,refs/heads/master,kali_on_wsl.yaml,
nzthiago/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
nzthiago/azure-quickstart-templates,refs/heads/master,101-Telegraf-InfluxDB-Grafana/scripts/Configfiles/ansible/docker_install.yml,
joshgabriel/dft-crossfilter,refs/heads/master,builds/install.yaml,
buffersandbeer/pentestingwithdevops,refs/heads/master,infrastructure-as-code/ansible-automotive/automotive-base.yml,
neudesic/azure-quickstart-templates,refs/heads/master,application-workloads/grafana/Telegraf-InfluxDB-Grafana/scripts/Configfiles/ansible/docker_install.yml,
lots0logs/deploy_collectd,refs/heads/master,ansible/enable.yml,
edtubillara/ursula,refs/heads/master,envs/example/swift-rhel/playbooks/predeploy.yml,
edtubillara/ursula,refs/heads/master,playbooks/vagrant/predeploy.yml,
edtubillara/ursula,refs/heads/master,playbooks/install_deb_package.yml,
edtubillara/ursula,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
edtubillara/ursula,refs/heads/master,playbooks/ci-ceph-swift-ubuntu/tasks/pre-deploy.yml,
edtubillara/ursula,refs/heads/master,playbooks/remove_controller_services/tasks/main.yml,
edtubillara/ursula,refs/heads/master,playbooks/ci-full-ubuntu/tasks/pre-deploy.yml,
edtubillara/ursula,refs/heads/master,upgrade.yml,
