repo_name,ref,path,symlink_target,docker_base_image
jmehnle/ansible,refs/heads/devel,test/utils/docker/cloudstack-simulator/Dockerfile,,ubuntu:16.04
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1404/Dockerfile,,ubuntu:14.04
jmehnle/ansible,refs/heads/devel,packaging/debian/Dockerfile,,ubuntu:xenial
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1604/Dockerfile,,ubuntu:16.04
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1604py3/Dockerfile,,ubuntu:16.04
tareqalayan/ansible,refs/heads/devel,packaging/debian/Dockerfile,,ubuntu:xenial
tareqalayan/ansible,refs/heads/devel,test/runner/Dockerfile,,ubuntu:16.04
tareqalayan/ansible,refs/heads/devel,test/utils/docker/ubuntu1604py3/Dockerfile,,ubuntu:16.04
tareqalayan/ansible,refs/heads/devel,test/utils/docker/ubuntu1404/Dockerfile,,ubuntu:14.04
tareqalayan/ansible,refs/heads/devel,test/utils/docker/ubuntu1604/Dockerfile,,ubuntu:16.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/nginx/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/weechat/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/znc/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/continueIndent/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/mail/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,docs/examples/running_riak_service.Dockerfile,,ubuntu:trusty
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04
baskeboler/generator-jhipster,refs/heads/master,Dockerfile,,ubuntu:xenial
soprasteria/dad,refs/heads/master,Dockerfile,,ubuntu:16.04
