repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
jmehnle/ansible,refs/heads/devel,test/utils/docker/cloudstack-simulator/Dockerfile,,ubuntu:16.04,jmehnle,ansible
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1404/Dockerfile,,ubuntu:14.04,jmehnle,ansible
jmehnle/ansible,refs/heads/devel,packaging/debian/Dockerfile,,ubuntu:xenial,jmehnle,ansible
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1604/Dockerfile,,ubuntu:16.04,jmehnle,ansible
jmehnle/ansible,refs/heads/devel,test/utils/docker/ubuntu1604py3/Dockerfile,,ubuntu:16.04,jmehnle,ansible
tareqalayan/ansible,refs/heads/devel,test/runner/Dockerfile,,ubuntu:16.04,tareqalayan,ansible
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/nginx/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/weechat/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/znc/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/continueIndent/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/mail/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,docs/examples/running_riak_service.Dockerfile,,ubuntu:trusty,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,j-mracek,docker
j-mracek/docker,refs/heads/master,builder/dockerfile/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,j-mracek,docker
baskeboler/generator-jhipster,refs/heads/master,Dockerfile,,ubuntu:xenial,baskeboler,generator-jhipster
soprasteria/dad,refs/heads/master,Dockerfile,,ubuntu:16.04,soprasteria,dad
Intellection/docker-oauth2-proxy,refs/heads/master,Dockerfile,,debian:stretch-slim,Intellection,docker-oauth2-proxy
twhittock/czmq,refs/heads/master,Dockerfile,,ubuntu:trusty,twhittock,czmq
lewislyou/contrib,refs/heads/master,ingress/controllers/gce/Dockerfile,,ubuntu:14.04,lewislyou,contrib
lewislyou/contrib,refs/heads/master,images/ubuntu-slim/Dockerfile.build,,ubuntu:16.04,lewislyou,contrib
zoobab/malamute,refs/heads/master,Dockerfile,,ubuntu:trusty,zoobab,malamute
zoobab/malamute,refs/heads/master,Dockerfile-dev,,ubuntu:trusty,zoobab,malamute
hbredin/docker-piwigo,refs/heads/master,Dockerfile,,ubuntu:14.04,hbredin,docker-piwigo
bhermansyah/DRR-datacenter,refs/heads/master,Dockerfile,,ubuntu:14.04,bhermansyah,DRR-datacenter
shangwuhencc/shogun,refs/heads/develop,configs/Dockerfile,,ubuntu:14.04,shangwuhencc,shogun
Tekstove/Tekstove,refs/heads/master,docker/php/Dockerfile,,debian:10,Tekstove,Tekstove
latex-g7-32/latex-g7-32,refs/heads/master,docker/Dockerfile,,debian:stretch,latex-g7-32,latex-g7-32
SuperElastix/elastix,refs/heads/develop,Dockerfile,,ubuntu:20.04,SuperElastix,elastix
Praqma/luci-core,refs/heads/master,src/main/resources/docker/tools/Dockerfile,,ubuntu:14.04,Praqma,luci-core
jhoenicke/trezor-mcu,refs/heads/master,Dockerfile.emulator,,debian:9,jhoenicke,trezor-mcu
jhoenicke/trezor-mcu,refs/heads/master,Dockerfile,,debian:9,jhoenicke,trezor-mcu
ragnard/clojars-s3-sync,refs/heads/master,Dockerfile,,ubuntu:14.04,ragnard,clojars-s3-sync
crazy-max/csgo-server-launcher,refs/heads/master,Dockerfile,,debian:bullseye-slim,crazy-max,csgo-server-launcher
nealhardesty/dockerfiles,refs/heads/master,sshbastion/Dockerfile,,ubuntu:16.04,nealhardesty,dockerfiles
nealhardesty/dockerfiles,refs/heads/master,spark/Dockerfile,,ubuntu:14.04,nealhardesty,dockerfiles
nealhardesty/dockerfiles,refs/heads/master,dev/Dockerfile,,ubuntu:16.04,nealhardesty,dockerfiles
maxwell92/docker,refs/heads/master,builder/parser/testfiles/continueIndent/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/weechat/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/nginx/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/mail/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,maxwell92,docker
maxwell92/docker,refs/heads/master,builder/parser/testfiles/znc/Dockerfile,,ubuntu:14.04,maxwell92,docker
Clever/s3-to-redshift,refs/heads/master,Dockerfile,,debian:bullseye,Clever,s3-to-redshift
okanasik/JdeRobot,refs/heads/master,test/packages/install_test/Dockerfile,,ubuntu:xenial,okanasik,JdeRobot
okanasik/JdeRobot,refs/heads/master,scripts/docker/jderobot/demos/cameraviewjs/Dockerfile,,ubuntu:xenial,okanasik,JdeRobot
okanasik/JdeRobot,refs/heads/master,scripts/docker/jderobot/official/Dockerfile,,ubuntu:xenial,okanasik,JdeRobot
okanasik/JdeRobot,refs/heads/master,scripts/docker/ubuntu/xenial/base/Dockerfile,,ubuntu:xenial,okanasik,JdeRobot
zaafar/bcc,refs/heads/master,Dockerfile.ubuntu,,ubuntu:trusty,zaafar,bcc
nurkiewicz/docker-client,refs/heads/master,src/test/resources/dockerSslDirectory/Dockerfile,,ubuntu:14.04,nurkiewicz,docker-client
bvanderveen/jsbsim-docker,refs/heads/master,docker/build/Dockerfile,,ubuntu:14.10,bvanderveen,jsbsim-docker
bvanderveen/jsbsim-docker,refs/heads/master,docker/run/Dockerfile,,ubuntu:14.10,bvanderveen,jsbsim-docker
gtank/kubernetes,refs/heads/master,examples/job/work-queue-1/Dockerfile,,ubuntu:14.04,gtank,kubernetes
