repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
Brainfood-com/docker-image-recipes,refs/heads/master,mongodb/Dockerfile,,debian:stretch-slim,Brainfood-com,docker-image-recipes
REAANDREW/thingamabob,refs/heads/master,Dockerfile,,ubuntu:14.04,REAANDREW,thingamabob
talkincode/docker-pypy,refs/heads/master,Dockerfile,,ubuntu:14.04,talkincode,docker-pypy
rafaellg8/IV-PLUCO-RLG,refs/heads/master,Dockerfile,,ubuntu:14.04,rafaellg8,IV-PLUCO-RLG
nexdatas/configserver-db,refs/heads/master,.travis/ubuntu18.04_py3/Dockerfile,,ubuntu:18.04,nexdatas,configserver-db
SymfoniNext/furrow,refs/heads/master,vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04,SymfoniNext,furrow
fawcettc/planning-features,refs/heads/master,Dockerfile,,ubuntu:20.04,fawcettc,planning-features
juju4/ansible-icinga2,refs/heads/master,test/travis/Dockerfile.ubuntu-14.04,,ubuntu:14.04,juju4,ansible-icinga2
lisagail/petulant-octo-computing-machine,refs/heads/master,Dockerfile,,ubuntu:trusty,lisagail,petulant-octo-computing-machine
MG-RAST/AWE,refs/heads/master,vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/continueIndent/Dockerfile,,ubuntu:14.04,MG-RAST,AWE
twosigma/docker-old,refs/heads/master,builder/parser/testfiles/mail/Dockerfile,,ubuntu:14.04,twosigma,docker-old
renanmfd/meninadasbalas,refs/heads/master,.vagrant/provisioning/roles/geerlingguy.apache-php-fpm/tests/Dockerfile.ubuntu-14.04,,ubuntu:14.04,renanmfd,meninadasbalas
dmlc/tvm,refs/heads/main,docker/Dockerfile.ci_jekyll,,ubuntu:16.04,dmlc,tvm
GEFx/GEF,refs/heads/master,services/waveform-metadata-demo/Dockerfile,,ubuntu:16.04,GEFx,GEF
distcc/distcc,refs/heads/master,docker/base/Dockerfile,,ubuntu:xenial-20170802,distcc,distcc
aldencolerain/bmanage,refs/heads/master,servers/kaplinks_dm/Dockerfile,,ubuntu:14.04,aldencolerain,bmanage
nalind/graphc,refs/heads/master,vendor/src/github.com/docker/docker/docs/examples/running_riak_service.Dockerfile,,ubuntu:trusty,nalind,graphc
6mandati6/6mandati6,refs/heads/master,spring-boot-integration-tests/spring-boot-launch-script-tests/src/test/resources/conf/Ubuntu/trusty-20160503.1/Dockerfile,,ubuntu:trusty-20160503.1,6mandati6,6mandati6
swarmer/genetics,refs/heads/master,docker/Dockerfile,,ubuntu:16.04,swarmer,genetics
abhishekkr/tutorials_as_code,refs/heads/master,talks-articles/machine-learning/toolbox/torch/dockerfiles/Dockerfile.pytorch,,ubuntu:16.04,abhishekkr,tutorials_as_code
Valtis/YATCP,refs/heads/master,Dockerfile,,ubuntu:bionic,Valtis,YATCP
lhhunghimself/LINCS_RNAseq_cpp,refs/heads/master,Dockerfile.build_bwa_ubuntu,,ubuntu:18.04,lhhunghimself,LINCS_RNAseq_cpp
leonwanghui/opensds-broker,refs/heads/master,vendor/github.com/kubernetes-incubator/service-catalog/vendor/k8s.io/kubernetes/cluster/gce/gci/mounter/Dockerfile,,ubuntu:xenial,leonwanghui,opensds-broker
massysett/stackage,refs/heads/master,automated/dockerfiles/lts-13.0/Dockerfile,,ubuntu:16.04,massysett,stackage
openstack/solum,refs/heads/master,examples/language-packs/go/Dockerfile,,ubuntu:trusty,openstack,solum
Norgg/Principia,refs/heads/master,Dockerfile,,ubuntu:14.10,Norgg,Principia
missionpinball/mpf-mc,refs/heads/dev,docker/ubuntu1404/Dockerfile,,ubuntu:14.04,missionpinball,mpf-mc
LyreOrpheus/lyreserver,refs/heads/master,MusicBot2/Dockerfile,,ubuntu:14.04,LyreOrpheus,lyreserver
jparyani/Mailpile,refs/heads/sandstorm,Dockerfile,,ubuntu:14.04,jparyani,Mailpile
MemeticParadigm/TensorFlow,refs/heads/master,tensorflow/tools/docker/Dockerfile.lite,,ubuntu:14.04,MemeticParadigm,TensorFlow
alexburrows/commerceauction,refs/heads/master,provisioning/roles/thom8.php-upload-progress/tests/Dockerfile.ubuntu-14.04,,ubuntu:14.04,alexburrows,commerceauction
nomacs/nomacs,refs/heads/master,Dockerfile,,ubuntu:xenial,nomacs,nomacs
danielpops/openvas,refs/heads/master,Dockerfile,,ubuntu:focal,danielpops,openvas
alanfranz/apt-current,refs/heads/v1dev,packaging/ubuntu-trusty/test-image/Dockerfile,,ubuntu:trusty,alanfranz,apt-current
vbehar/openshift-cucumber,refs/heads/master,Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/nginx/Dockerfile,,ubuntu:14.04,vbehar,openshift-cucumber
clam-p/clam,refs/heads/master,src/file_handler/Dockerfile,,ubuntu:14.04,clam-p,clam
bioinform/somaticseq,refs/heads/master,Dockerfiles/canvas.1.35.dockerfile,,ubuntu:16.04,bioinform,somaticseq
voutcn/megahit,refs/heads/master,Dockerfile,,ubuntu:18.04,voutcn,megahit
ewolff/user-registration,refs/heads/master,log-analysis/java/Dockerfile,,ubuntu:14.04,ewolff,user-registration
Pensu/contrib,refs/heads/master,statefulsets/zookeeper/Dockerfile,,ubuntu:16.04,Pensu,contrib
pasinskim/integration,refs/heads/master,backend-tests/docker/Dockerfile,,ubuntu:16.04,pasinskim,integration
TricksterGuy/complx,refs/heads/master,Dockerfile,,ubuntu:16.04,TricksterGuy,complx
ComputationalPhysics/atomify-lammps,refs/heads/dev,.docker/atomify-lammps/Dockerfile,,ubuntu:16.04,ComputationalPhysics,atomify-lammps
IanHawke/im2sim,refs/heads/master,example_figure/docker_material/Dockerfile,,ubuntu:14.04,IanHawke,im2sim
koep/dockerfiles,refs/heads/master,fontpatcher/Dockerfile,,debian:bullseye-slim,koep,dockerfiles
