repo_name,ref,path,symlink_target,docker_base_image
justinribeiro/dockerfiles,refs/heads/master,lighthouse/Dockerfile,,buster
firebase/grpc,refs/heads/master,tools/dockerfile/grpc_clang_tidy/Dockerfile,,10
saneax/dockerfiles,refs/heads/master,nmap/Dockerfile,,stretch
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.7_x64/Dockerfile,,stretch
nicolasnoble/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.7_x64/Dockerfile,,stretch
vjpai/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.7_x64/Dockerfile,,stretch
donnadionne/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.7_x64/Dockerfile,,stretch
Hefting/HarmonIQ,refs/heads/master,tools/Dockerfile,,stretch
google/or-tools,refs/heads/stable,tools/docker/test/amd64/debian-11/cc.Dockerfile,,11
sguthrie/predicting-depression,refs/heads/master,Dockerfiles/unusableDockerfiles/arv-mount,,stretch
vulhub/vulhub,refs/heads/master,base/ghostscript/9.21/Dockerfile,,stretch
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster
jtattermusch/grpc,refs/heads/master,tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster
ctiller/grpc,refs/heads/master,tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster
grpc/grpc,refs/heads/master,tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster
jfisbein/debian-oracle-jdk9,refs/heads/master,Dockerfile,,stretch
scheib/chromium,refs/heads/master,third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
ric2b/Vivaldi-browser,refs/heads/master,chromium/third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
chromium/chromium,refs/heads/main,third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
nwjs/chromium.src,refs/heads/nw60,third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
alanbrent/dockerfiles,refs/heads/master,slapd/Dockerfile,,stretch
premkit/premkit,refs/heads/master,deploy/Dockerfile,,buster
arenadata/bigtop,refs/heads/branch-adh-2.0,docker/bigtop-puppet/debian-9/Dockerfile,,9
panagiotisl/bigtop,refs/heads/master,docker/bigtop-puppet/debian-9/Dockerfile,,9
welikecloud/bigtop,refs/heads/master,docker/bigtop-puppet/debian-9/Dockerfile,,9
mtmiller/ocserv,refs/heads/master,tests/docker-ocserv/Dockerfile-debian-radius-config,,stretch
SubOptimal/frab-docker,refs/heads/master,Dockerfile,,stretch
passbolt/passbolt_docker_debian,refs/heads/master,debian/Dockerfile,,bullseye
FrankIJskes/Dockerfiles,refs/heads/master,python36-pandas/Dockerfile,,stretch
Andrettin/Wyrmgus,refs/heads/master,.github/Dockerfile-bullseye,,bullseye
remko/dicewords,refs/heads/master,Dockerfile,,stretch
nemequ/simde,refs/heads/master,test/docker/Dockerfile.ppc64el,,bullseye
muxi/grpc,refs/heads/master,tools/dockerfile/test/cxx_buster_x64/Dockerfile,,buster
alanbrent/dockerfiles,refs/heads/master,lilyterm/Dockerfile,,stretch
leapcode/bitmask-dev,refs/heads/master,pkg/docker_bundler_venv/Dockerfile,,stretch
rvm/rvm1-ansible,refs/heads/master,tests/dockerfiles/debian10/Dockerfile,,10
johnsandiford/dockerfiles,refs/heads/master,shellcheck/Dockerfile,,buster
mmatoscom/Dockerfiles,refs/heads/master,jessfraz/shellcheck/Dockerfile,,buster
djavorszky/ddn,refs/heads/master,dist/server/Dockerfile,,stretch
bubaflub/iptables-analzye,refs/heads/master,Dockerfile,,stretch
Integ/FSM,refs/heads/master,Dockerfile,,9.5
InsaLan/insalan.fr,refs/heads/master,Dockerfile,,9
twstrike/coyim,refs/heads/main,reproducible/docker/Dockerfile.buster,,buster
basepi/hubble,refs/heads/develop,pkg/dev/coreos/Dockerfile,,9
pni-libraries/libpniio,refs/heads/develop,.ci/debian9/Dockerfile,,stretch
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
nicolasnoble/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
vjpai/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
donnadionne/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch
johnsandiford/dockerfiles,refs/heads/master,iceweasel/Dockerfile,,buster
mmatoscom/Dockerfiles,refs/heads/master,jessfraz/iceweasel/Dockerfile,,buster
erlio/docker-vernemq,refs/heads/master,Dockerfile,,stretch
tprrt/dockers,refs/heads/master,debian-oe/Dockerfile,,bullseye
vulhub/vulhub,refs/heads/master,base/ghostscript/9.25/Dockerfile,,stretch
cahna/JobApp,refs/heads/master,Dockerfile,,11
nemequ/simde,refs/heads/master,test/docker/Dockerfile.arm7,,bullseye
Clever/shorty,refs/heads/master,Dockerfile,,stretch
pni-libraries/libpnicore,refs/heads/develop,.ci/debian11/Dockerfile,,bullseye
nexdatas/tools,refs/heads/develop,.ci/debian9_py2/Dockerfile,,stretch
uber/kraken,refs/heads/master,docker/tracker/Dockerfile,,10
nmarley/dash,refs/heads/master,docker/Dockerfile,,stretch
crowning-/dash,refs/heads/master,docker/Dockerfile,,stretch
jtattermusch/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_ruby/Dockerfile,,buster
darylounet/libnginx-mod-pagespeed,refs/heads/master,Dockerfile-deb-dch,,bullseye
legany/dockerfiles,refs/heads/master,latex/Dockerfile,,stretch
dgsb/docker-ikiwiki,refs/heads/master,Dockerfile,,stretch
konstruktoid/dockerfiles,refs/heads/master,cathode/Dockerfile,,buster
rothgar/dockerfiles,refs/heads/master,cathode/Dockerfile,,buster
InformaticsMatters/rdkit,refs/heads/master,Dockerfile-all-in-one,,buster
LACNIC/virtualized-appliances,refs/heads/master,routinator.docker/Dockerfile,,buster
mdevey/icinga2,refs/heads/master,Dockerfile,,stretch
sdhoward/docker-library,refs/heads/master,x86_64/unbound/Dockerfile,,stretch
pevma/sqard,refs/heads/master,Debian/Dockerfile.sqard-debian-11,,11
projectcalico/calico-rkt,refs/heads/master,Dockerfile.amd64,,buster
keopx/docker-apache-php,refs/heads/master,5.6/Dockerfile,,buster
sudden6/qTox,refs/heads/master,docker/Dockerfile.debian,,stretch
passbolt/passbolt_docker_debian,refs/heads/master,debian/Dockerfile.rootless,,bullseye
