repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
justinribeiro/dockerfiles,refs/heads/master,lighthouse/Dockerfile,,buster,justinribeiro,dockerfiles
firebase/grpc,refs/heads/master,tools/dockerfile/grpc_clang_tidy/Dockerfile,,10,firebase,grpc
saneax/dockerfiles,refs/heads/master,nmap/Dockerfile,,stretch,saneax,dockerfiles
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.7_x64/Dockerfile,,stretch,ejona86,grpc
Hefting/HarmonIQ,refs/heads/master,tools/Dockerfile,,stretch,Hefting,HarmonIQ
google/or-tools,refs/heads/stable,tools/docker/test/amd64/debian-11/cc.Dockerfile,,11,google,or-tools
sguthrie/predicting-depression,refs/heads/master,Dockerfiles/unusableDockerfiles/arv-mount,,stretch,sguthrie,predicting-depression
vulhub/vulhub,refs/heads/master,base/ghostscript/9.21/Dockerfile,,stretch,vulhub,vulhub
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/python_buster_x64/Dockerfile,,buster,grpc,grpc-ios
jfisbein/debian-oracle-jdk9,refs/heads/master,Dockerfile,,stretch,jfisbein,debian-oracle-jdk9
scheib/chromium,refs/heads/master,third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch,scheib,chromium
ric2b/Vivaldi-browser,refs/heads/master,chromium/third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch,ric2b,Vivaldi-browser
nwjs/chromium.src,refs/heads/nw60,third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch,nwjs,chromium.src
alanbrent/dockerfiles,refs/heads/master,slapd/Dockerfile,,stretch,alanbrent,dockerfiles
premkit/premkit,refs/heads/master,deploy/Dockerfile,,buster,premkit,premkit
arenadata/bigtop,refs/heads/branch-adh-2.0,docker/bigtop-puppet/debian-9/Dockerfile,,9,arenadata,bigtop
mtmiller/ocserv,refs/heads/master,tests/docker-ocserv/Dockerfile-debian-radius-config,,stretch,mtmiller,ocserv
SubOptimal/frab-docker,refs/heads/master,Dockerfile,,stretch,SubOptimal,frab-docker
passbolt/passbolt_docker_debian,refs/heads/master,debian/Dockerfile,,bullseye,passbolt,passbolt_docker_debian
FrankIJskes/Dockerfiles,refs/heads/master,python36-pandas/Dockerfile,,stretch,FrankIJskes,Dockerfiles
Andrettin/Wyrmgus,refs/heads/master,.github/Dockerfile-bullseye,,bullseye,Andrettin,Wyrmgus
remko/dicewords,refs/heads/master,Dockerfile,,stretch,remko,dicewords
nemequ/simde,refs/heads/master,test/docker/Dockerfile.ppc64el,,bullseye,nemequ,simde
muxi/grpc,refs/heads/master,tools/dockerfile/test/cxx_buster_x64/Dockerfile,,buster,muxi,grpc
alanbrent/dockerfiles,refs/heads/master,lilyterm/Dockerfile,,stretch,alanbrent,dockerfiles
leapcode/bitmask-dev,refs/heads/master,pkg/docker_bundler_venv/Dockerfile,,stretch,leapcode,bitmask-dev
rvm/rvm1-ansible,refs/heads/master,tests/dockerfiles/debian10/Dockerfile,,10,rvm,rvm1-ansible
johnsandiford/dockerfiles,refs/heads/master,shellcheck/Dockerfile,,buster,johnsandiford,dockerfiles
mmatoscom/Dockerfiles,refs/heads/master,jessfraz/shellcheck/Dockerfile,,buster,mmatoscom,Dockerfiles
djavorszky/ddn,refs/heads/master,dist/server/Dockerfile,,stretch,djavorszky,ddn
bubaflub/iptables-analzye,refs/heads/master,Dockerfile,,stretch,bubaflub,iptables-analzye
Integ/FSM,refs/heads/master,Dockerfile,,9.5,Integ,FSM
InsaLan/insalan.fr,refs/heads/master,Dockerfile,,9,InsaLan,insalan.fr
twstrike/coyim,refs/heads/main,reproducible/docker/Dockerfile.buster,,buster,twstrike,coyim
basepi/hubble,refs/heads/develop,pkg/dev/coreos/Dockerfile,,9,basepi,hubble
pni-libraries/libpniio,refs/heads/develop,.ci/debian9/Dockerfile,,stretch,pni-libraries,libpniio
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch,ejona86,grpc
johnsandiford/dockerfiles,refs/heads/master,iceweasel/Dockerfile,,buster,johnsandiford,dockerfiles
mmatoscom/Dockerfiles,refs/heads/master,jessfraz/iceweasel/Dockerfile,,buster,mmatoscom,Dockerfiles
erlio/docker-vernemq,refs/heads/master,Dockerfile,,stretch,erlio,docker-vernemq
tprrt/dockers,refs/heads/master,debian-oe/Dockerfile,,bullseye,tprrt,dockers
vulhub/vulhub,refs/heads/master,base/ghostscript/9.25/Dockerfile,,stretch,vulhub,vulhub
