repo_name,ref,path,symlink_target
kartta-labs/Project,refs/heads/master,Dockerfile-cgimap,
passbolt/passbolt_docker,refs/heads/master,debian/Dockerfile.rootless,
sanguinariojoe/FreeCAD,refs/heads/master,tools/build/Dockerfile.Debian,
jfrazelle/dockerfiles,refs/heads/master,gparted/Dockerfile,
koep/dockerfiles,refs/heads/master,gparted/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,gparted/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,gparted/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,gparted/Dockerfile,
istana/libnss-maria,refs/heads/master,docker/Dockerfile.unix_socket,
joelnb/dumb-init-docker,refs/heads/master,debian-bullseye/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,chrome/beta/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,chrome/beta/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,chrome/beta/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,chrome/beta/Dockerfile,
vicamo/docker-binfmt-qemu,refs/heads/master,debian/bullseye/Dockerfile,
el-bart/mini,refs/heads/master,vacuum_cleaner_reduction/sdk/Dockerfile,
el-bart/mini,refs/heads/master,anycubic_chiron/build/sdk/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,gcc/Dockerfile,
koep/dockerfiles,refs/heads/master,gcc/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,gcc/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,gcc/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,gcc/Dockerfile,
jthelin/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
thaJeztah/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
bearstech/moby,refs/heads/master,contrib/nnp-test/Dockerfile,
konstruktoid/docker-upstream,refs/heads/master,contrib/nnp-test/Dockerfile,
jimjag/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
moby/moby,refs/heads/master,contrib/nnp-test/Dockerfile,
mahak/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
djs55/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
Mokolea/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
trebonian/docker,refs/heads/master,contrib/nnp-test/Dockerfile,
passbolt/passbolt_docker,refs/heads/master,debian/Dockerfile,
gurka/gameserver,refs/heads/master,tools/docker/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,iceweasel/Dockerfile,
koep/dockerfiles,refs/heads/master,iceweasel/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,iceweasel/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,iceweasel/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,iceweasel/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,kicad/Dockerfile,
koep/dockerfiles,refs/heads/master,kicad/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,kicad/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,kicad/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,kicad/Dockerfile,
Andrettin/Wyrmgus,refs/heads/master,.github/Dockerfile-bullseye,
jfrazelle/dockerfiles,refs/heads/master,traceroute/Dockerfile,
koep/dockerfiles,refs/heads/master,traceroute/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,traceroute/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,traceroute/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,traceroute/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,nmap/Dockerfile,
koep/dockerfiles,refs/heads/master,nmap/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,nmap/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,nmap/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,nmap/Dockerfile,
sobolevn/git-secret,refs/heads/master,.ci/docker-ci/debian-gnupg2/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,lynx/Dockerfile,
koep/dockerfiles,refs/heads/master,lynx/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,lynx/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,lynx/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,lynx/Dockerfile,
bagage/cadastre-conflation,refs/heads/master,imposm/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,debootstrap/Dockerfile,
koep/dockerfiles,refs/heads/master,debootstrap/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,debootstrap/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,debootstrap/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,debootstrap/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,stress/Dockerfile,
koep/dockerfiles,refs/heads/master,stress/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,stress/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,stress/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,stress/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,chromium/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,chromium/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,chromium/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,chromium/Dockerfile,
google/or-tools,refs/heads/stable,tools/docker/test/amd64/debian-11/cc.Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,pandoc/Dockerfile,
koep/dockerfiles,refs/heads/master,pandoc/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,pandoc/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,pandoc/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,pandoc/Dockerfile,
gverger/ruby-cbc,refs/heads/master,test/installation-tests/Dockerfile-debian,
jfrazelle/dockerfiles,refs/heads/master,texlive/Dockerfile,
koep/dockerfiles,refs/heads/master,texlive/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,texlive/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,texlive/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,texlive/Dockerfile,
cahna/JobApp,refs/heads/master,Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,rt-tests/Dockerfile,
koep/dockerfiles,refs/heads/master,rt-tests/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,rt-tests/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,rt-tests/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,rt-tests/Dockerfile,
ximion/appstream,refs/heads/master,tests/ci/Dockerfile-debian-stable,
kubernetes/k8s.io,refs/heads/main,images/k8s-infra/Dockerfile,
lpenz/gkrellexec,refs/heads/devel,Dockerfile,
sobolevn/git-secret,refs/heads/master,.ci/docker-ci/debian-gnupg1/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,cathode/Dockerfile,
koep/dockerfiles,refs/heads/master,cathode/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,cathode/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,cathode/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,cathode/Dockerfile,
cloudflare/quiche,refs/heads/master,fuzz/Dockerfile,
ziirish/burp-ui,refs/heads/master,docker/demo/docker-burp2/Dockerfile,
ziirish/burp-ui,refs/heads/master,docker/demo/docker-cli2/Dockerfile,
veyon/veyon,refs/heads/master,.ci/linux.debian.bullseye/Dockerfile,
BioDocker/containers,refs/heads/master,vg/1.23.0-plusds-1-deb/Dockerfile,
BioContainers/containers,refs/heads/master,vg/1.23.0-plusds-1-deb/Dockerfile,
lhelontra/tensorflow-on-arm,refs/heads/master,build_tensorflow/Dockerfile.bullseye,
twhtanghk/docker.shell,refs/heads/master,kicad/Dockerfile,
dancerj/monthly-report,refs/heads/master,utils/docker/Dockerfile.bullseye,
phusion/passenger_apt_automation,refs/heads/master,docker-images/testbox-debian-11/Dockerfile,
gyuho/etcd,refs/heads/main,Dockerfile-release.amd64,
etcd-io/etcd,refs/heads/main,Dockerfile-release.amd64,
jfrazelle/dockerfiles,refs/heads/master,shellcheck/Dockerfile,
koep/dockerfiles,refs/heads/master,shellcheck/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,shellcheck/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,shellcheck/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,shellcheck/Dockerfile,
fishilico/shared,refs/heads/master,machines/Dockerfile-debian11-bullseye,
jfrazelle/dockerfiles,refs/heads/master,gimp/Dockerfile,
koep/dockerfiles,refs/heads/master,gimp/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,gimp/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,gimp/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,gimp/Dockerfile,
gurka/gameserver,refs/heads/master,Dockerfile.login,
google/skia-buildbot,refs/heads/main,promk/images/thanos-bounce/Dockerfile,
jfrazelle/dockerfiles,refs/heads/master,transmission-ui/Dockerfile,
koep/dockerfiles,refs/heads/master,transmission-ui/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,transmission-ui/Dockerfile,
michael-k/dockerfiles-jfrazelle,refs/heads/master,transmission-ui/Dockerfile,
jessfraz/dockerfiles,refs/heads/master,transmission-ui/Dockerfile,
veyon/veyon,refs/heads/master,.ci/linux.sast/Dockerfile,
infosiftr/buildpack-deps,refs/heads/master,debian/bullseye/curl/Dockerfile,
docker-library/buildpack-deps,refs/heads/master,debian/bullseye/curl/Dockerfile,
gurka/gameserver,refs/heads/master,Dockerfile.world,
lkorigin/laniakea,refs/heads/master,tests/ci/Dockerfile-debian-testing,
lkorigin/laniakea,refs/heads/master,tests/ci/Dockerfile-debian-stable,
openforis/sepal,refs/heads/master,deploy/Dockerfile,
nfq-technologies/docker-images,refs/heads/master,debian-bullseye/Dockerfile,
sobolevn/git-secret,refs/heads/master,.ci/release-ci/debian/Dockerfile,
uglyog/pact-stub-server,refs/heads/master,docker/Dockerfile,
eworm-de/PackageKit,refs/heads/pacman-6,tests/ci/Dockerfile-debian,
tpgxyz/PackageKit,refs/heads/master,tests/ci/Dockerfile-debian,
hughsie/PackageKit,refs/heads/master,tests/ci/Dockerfile-debian,
jfrazelle/dockerfiles,refs/heads/master,lilyterm/Dockerfile,
koep/dockerfiles,refs/heads/master,lilyterm/Dockerfile,
ricardorsierra/dockerfiles,refs/heads/master,lilyterm/Dockerfile,
