repo_name,ref,path,symlink_target
spartansystems/lazysusan,refs/heads/master,examples/dad_joke_2/Jokes2/serverless.yml,
scott-linder/cs6030.dyndns,refs/heads/master,sam-template.yaml,
randyzingle/tools,refs/heads/master,sam/pwgenerator/template.yaml,
aws-quickstart/taskcat,refs/heads/master,tests/data/lambda_build_with_submodules/submodules/SomeSub/lambda_functions/source/TestFunc/Dockerfile,
aws-quickstart/taskcat,refs/heads/master,tests/data/lambda_build_with_submodules/lambda_functions/source/TestFunc/Dockerfile,
aws-quickstart/taskcat,refs/heads/master,tests/data/lambda_build_with_submodules/submodules/SomeSub/submodules/DeepSub/lambda_functions/source/TestFunc/Dockerfile,
RealSelf/serverless-email-to-slack,refs/heads/master,serverless.yml,
marcopuccio/pocs,refs/heads/master,serverless/yesno/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/auth0_publisher/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/hris_publisher/serverless.yml,
tdhopper/philosophy-article,refs/heads/master,serverless.yml,
groppe/mario,refs/heads/development,src/serverless.yml,
jonkyops/serverless-python-notetaking,refs/heads/master,serverless.yml,
silvermullet/oh-bot,refs/heads/master,serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,example_native_deps/serverless.yml,
getsocial-rnd/git2params,refs/heads/master,serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/webhook_notifier/serverless.yml,
Vilsepi/nysseituu,refs/heads/master,src/serverless.yml,
spartansystems/lazysusan,refs/heads/master,examples/dad_joke/Jokes/serverless.yml,
qinglan233/vass,refs/heads/master,lambdas/mxnet-serverless/serverless.yml,
olneyhymn/opc-history,refs/heads/master,serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/manual/python/serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,tests/non_build_pyproject/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/python/python-big-json/serverless.yml,
iwitaly/big-lambda-serverless,refs/heads/master,serverless.yml,
deanwilson/alexa-skill-webstatuscode,refs/heads/master,serverless.yml,
qinglan233/vass,refs/heads/master,lambdas/mxnet-serverless/template.yaml,
aarongorka/serverless-slack-curated-sql,refs/heads/master,serverless.yml,
kartikluke/chammakbot,refs/heads/master,serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/docker/python/python2.7/serverless.yml,
DragonMastur/FakeRealNewsDetection,refs/heads/master,Serverless Functions/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Rasterio_osgeo_shapely_PIL_pyproj_numpy/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Keras_tensorflow/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Opencv_pil/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Pyrestest_wrk/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Tesseract/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Pdf_docx_pptx_xlsx_epub_png/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Shapely_numpy/source/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Sklearn_scipy_numpy/source/serverless.yml,
Athulus/chain-lightning,refs/heads/master,blog/serverless.yml,
theburningmonk/lambda-coldstart-comparison,refs/heads/master,python/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/mozilliansorg_groups_publisher/serverless.yml,
multiplechoice/workplace,refs/heads/master,serverless.yml,
hjpulkki/Currency-converter,refs/heads/master,lambda_function/serverless.yml,
shalupov/idea-cloudformation,refs/heads/master,testData/serverless-application-model/src/2016-10-31_workmail-hello-world-python_template.yaml,
pmpavlov/edf-poc-sql,refs/heads/master,serverless.yml,
ReutersMedia/sqs-browser-events,refs/heads/master,serverless.yml,
joseph-holland/lambda-graffiti-monkey,refs/heads/master,serverless.yml,
utkarsh009/SlackBot_utkapp,refs/heads/master,serverless.yml,
DavidCain/find-great-books,refs/heads/master,serverless.yml,
alexdebrie/serverless-flask,refs/heads/master,serverless.yml,
ahmetyazar/adj-demo,refs/heads/master,serverless/dbinit/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/python/python3/serverless.yml,
paulsheridan/paul-dot-games,refs/heads/master,serverless.yml,
Kotaimen/awscfncli,refs/heads/master,samples/Advanced/Macros/ShortHand/macro.template.yaml,
ryfeus/lambda-packs,refs/heads/master,Selenium_PhantomJS/source/serverless.yml,
brianz/brianz.github.io,refs/heads/master,post/serverless.yml,
skarlekar/chehara,refs/heads/master,serverless.yml,
Github-recommender/services,refs/heads/master,serverless.yml,
loads/ardere,refs/heads/master,serverless.yml,
marcy-terui/serverless-crypt,refs/heads/master,serverless.yml,
ryansb/serverless-cat-facts,refs/heads/master,serverless.yml,
mozilla/service-map,refs/heads/master,serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/profile_retrieval/serverless.yml,
econne01/twitter-news-bot,refs/heads/master,src/serverless.yml,
psyhomb/serverless,refs/heads/master,aws-lambda/imgmod/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/identity_vault_curator/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/postgresql_replicator/serverless.yml,
mozilla-iam/cis,refs/heads/master,serverless-functions/ldap_publisher/serverless.yml,
qinglan233/vass,refs/heads/master,tests/lambda-executable/src/template.yaml,
RemotePixel/remotepixel-api,refs/heads/master,serverless.yml,
GSC-RNSIT/bookmark-manager,refs/heads/master,serverless.yml,
rohithpr/bookmark-manager,refs/heads/master,serverless.yml,
kgorskowski/codedeploy_asg_helper,refs/heads/master,serverless.yml,
jnicho02/interview-alexa-skill,refs/heads/master,serverless.yml,
shalupov/idea-cloudformation,refs/heads/master,testData/serverless-application-model/src/2016-10-31_image_resize_python_template.yaml,
nblox/nblox-contact,refs/heads/master,serverless.yml,
minutelab/mless,refs/heads/master,example/template.yaml,
ryfeus/lambda-packs,refs/heads/master,Lxml_requests/source/serverless.yml,
AdTechMedia/adtechmedia-website,refs/heads/master,component/ads-blocking-losses/serverless.yml,
qinglan233/vass,refs/heads/master,lambdas/fused-decode-mxnet-lambda/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/docker/python/python3.8/serverless.yml,
ConcurrenyLabs/aws-pricing-tools,refs/heads/master,serverless.yml,
UnitedIncome/serverless-python-requirements,refs/heads/master,example/serverless.yml,
1Strategy/security-fairy,refs/heads/master,template.yaml,
Cloudzero/cloudzero-reactor-aws,refs/heads/develop,serverless.yml,
Vilsepi/infinimonkey,refs/heads/master,backend/serverless.yml,
ar90n/serverless-s3-local,refs/heads/master,example/simple_event_python/serverless.yml,
grassrootza/grassroot-learning,refs/heads/master,actions-serverless/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/python/python2/serverless.yml,
spartansystems/lazysusan,refs/heads/master,examples/age_difference/Age/serverless.yml,
psyhomb/serverless,refs/heads/master,aws-lambda/ftags/serverless.yml,
ReutersMedia/sqs-browser-events,refs/heads/master,cognito/serverless.yml,
dherault/serverless-offline,refs/heads/master,tests/integration/docker/python/python3.6/serverless.yml,
lambdacult/spark-examples,refs/heads/master,python2.7/serverless.yml,
ryfeus/lambda-packs,refs/heads/master,Tensorflow/source/serverless.yml,
hamish/SmeltCMS,refs/heads/master,serverless.yml,
